Collaborative,"Collaborative Region","Fiscal Year",Program--Please list therapies included in tuition,Grade Level,Grades,Per Diem - Member,"School Year  - Member (180 Days)",Summer  - Member,Total Tuition - Member,Per Diem - non-Member,"School Year  - non-Member (180 Days)",Summer  - non-Member,Total Tuition - non-Member,Notes
LABBB Collaborative,Greater Boston Region,FY22,IDEAL,Elementary,Pre K - 5,$310.03,"$55,805.43","$5,890.57","$61,696.00",$387.54,"$69,757.69","$7,363.31","$77,121.00",19 Summer Days are billed as part of annual tuition
LABBB Collaborative,Greater Boston Region,FY22,Memorial Elementary,Elementary,Pre K - 5,$314.09,"$56,536.85","$7,224.15","$63,761.00",$392.61,"$70,669.95","$9,030.05","$79,700.00",23 Summer Days are billed as part of annual tuition
CAPS Education Collaborative,Central Region,FY22,Deaf Hard of Hearing Program ,Elementary,Pre-K-5,295.97,"$53,275.00","$5,081.94","$58,356.94",$352.21,"$63,397.00","$6,014.88","$69,411.88",18 days
Shore Educational Collaborative,Greater Boston Region,FY22,"Social/Emotional Elementary (SLP, PT, OT, Couns, Nursing, BCBA, Reading Specialist)",Elementary,K-6,$331.00,"$59,580.00","$5,760.00","$65,340.00",$356.00,"$64,080.00",,"$6,192.00",summer is 25 days
Valley Collaborative,North Region,FY22,"Elementary School - Emotional Behavioral   Member and Non-Member Tuition Includes: SLP, OT, PT, BCBA, SW",Elementary,K-6,$240.00,"$43,200.00","$7,200.00","$50,400.00",$300.00,"$54,000.00","$9,000.00","$63,000.00",Summer = 30 days
Valley Collaborative,North Region,FY22,"Elementary School - Pragmatic, Sensory, and Behavior  Member and Non-Member Tuition Includes: SLP, OT, PT, BCBA, SW",Elementary,K-6,$240.00,"$43,200.00","$7,200.00","$50,400.00",$301.50,"$54,270.00","$9,045.00","$63,315.00",Summer = 30 days
Pilgrim Area Collaborative (PAC),South Region,FY22,Social/Emotional (includes all therapies except Reading),Elementary,K-5,$335.56,"$60,400.00","$4,920.00",,,,,N/A,summer is 22 days
LABBB Collaborative,Greater Boston Region,FY22,Fox Hill Elementary,Elementary,K - 4,$262.22,"$47,199.80","$4,982.20","$52,182.00",$327.77,"$58,999.30","$6,227.70","$65,227.00",19 Summer Days are billed as part of annual tuition
LABBB Collaborative,Greater Boston Region,FY22,Butler Elementary,Elementary,K - 4,$271.05,"$48,788.14","$5,149.86","$53,938.00",$338.81,"$60,985.63","$6,437.37","$67,423.00",19 Summer Days are billed as part of annual tuition
SEEM Collaborative,North Region,FY22,TLC,Elementary - Middle  Average,PK-8,$262.00,"$47,160.00","$6,648.00","$53,808.00",$363.00,"$65,340.00","$9,144.00","$72,960.00",Summer = 25 days
South Shore Educational Collaborative ,South Region,fy22,"quest, behavioral",Elementary - Middle  Average,k-gr8,$310.86,"$55,955.00","$7,150.00","$63,105.00",$343.13,"$61,763.00","$7,892.00","$69,655.00",
Collaborative for Regional Educational Services (CREST),North Region,FY22,Lifeways: 1:1 Staffing,Elementary - Middle  Average,PK-9,$428.00,"$77,040.00","$10,700.00","$87,740.00",$514.00,"$92,520.00","$12,850.00","$105,370.00",
Collaborative for Regional Educational Services (CREST),North Region,FY22,Lifeways ,Elementary - Middle  Average,PK-9,$403.00,"$72,540.00","$10,075.00","$82,615.00",$483.00,"$86,940.00","$12,075.00","$99,015.00",
