Collaborative,Org Code,Low < 2 hrs/wk,Low > 2 hrs/wk,Moderate,High,#,%
ACCEPT Education Collaborative,5500000,0,0.9,14.2,84.9,106,99.1
Assabet Valley Collaborative,5020000,0,2.6,21.1,76.3,76,100
Bi-County Collaborative (BICO),5040000,0,1.2,15,83.8,167,99.4
C.A.S.E. Concord Area SPED Collaborative,5160000,0,0.7,9.9,89.4,142,100
CAPS Education Collaborative,5140000,2.1,1.1,8.4,88.4,95,96.9
CHARMS Collaborative,5200000,0,0,5.4,94.6,37,100
Cape Cod Collaborative,5120000,0.9,1.8,10.9,86.4,110,100
Central Massachusetts SPED Collaborative,5180000,0,1.4,6.8,91.8,355,93.7
Collaborative for Educational Services,5320000,0,0,21.6,78.4,37,92.5
Collaborative for Regional Educational Service and Training (CREST),5280000,1.4,2.4,10.1,86,207,98.1
EDCO Collaborative,5230000,0,4.2,27.1,68.8,48,96
FLLAC Collaborative,5240000,0,0,9.3,90.7,97,94.2
LABBB Collaborative,5340000,0.3,0.3,4.1,95.2,315,100
Lower Pioneer Valley Educational Collaborative,5360000,1.8,6.3,33,58.9,112,95.7
North River Collaborative,5440000,3.1,2.1,9.3,85.6,97,93.3
Northshore Education Consortium,5460000,1,1.6,6.5,91,310,97.2
Pilgrim Area Collaborative (PAC),5480000,1.6,3.3,6.5,88.6,123,99.2
READS Collaborative,5580000,0,0.7,10.6,88.7,151,98.7
SEEM Collaborative,5620000,0.7,0.7,8.3,90.3,290,98.3
Shore Educational Collaborative,5640000,0,1.1,8.4,90.5,179,95.2
South Coast Educational Collaborative,5220000,0,0,4.3,95.7,184,95.8
South Shore Educational Collaborative,5740000,0.9,1.6,8.4,89.1,322,97.9
Southeastern Mass. Educational Collaborative (SMEC),5700000,0,2.4,9.5,88.1,42,95.5
Southern Worcester County Educational Collaborative,5720000,3.9,1.6,3.9,90.6,128,94.8
The Education Cooperative (TEC),5760000,0,2.4,14.6,82.9,82,94.3
Valley Collaborative,5400000,1.2,0.8,7,91.1,257,99.2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
