district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Abby Kelley Foster Charter Public (District),04450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21885215.62,1426,1425,NA,NA,NA,NA,NA,12.1,NA,0,117,116,120,118,117,115,117,114,111,97,99,98,86,0,NA,NA,NA,NA,NA
Abington,00010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34045424.41,2154,2117,8645.809253,376.901794,1154.398276,914.2410019,2630.024567,15.8,NA,51,173,168,161,144,162,140,169,161,169,146,160,153,152,8,14,14,185905,201354,4
Academy Of the Pacific Rim Charter Public (District),04120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11037174.88,510,540,NA,NA,NA,NA,NA,25.6,NA,0,0,0,0,0,0,53,72,73,76,82,63,63,58,0,NA,NA,NA,NA,NA
Acton-Boxborough,06000000,0.015,0.025,0.025,NA,70842,72743,74698,50670,51937,53235,92172,94476,96838,NA,96289999.24,5186,5207,10284.04287,450.3476166,1734.46259,1058.997819,2398.868924,15,NA,73,286,321,365,372,404,390,414,410,421,406,465,450,426,4,3,3,201925,201925,3
Acushnet,00030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17164756.77,935,910,8145.447055,588.6412937,1193.861425,951.8660385,1540.603651,13.7,NA,28,86,83,117,95,80,108,104,100,109,0,0,0,0,0,3,3,143575,151575,6
Advanced Math and Science Academy Charter (District),04300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15918145.99,965,966,NA,NA,NA,NA,NA,5.8,NA,0,0,0,0,0,0,0,127,125,125,146,155,147,141,0,NA,NA,NA,NA,NA
Agawam,00050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68666461.05,3464,3508,11000.44039,425.9311724,1198.713471,1337.323133,3128.795804,17.1,NA,106,227,257,251,230,278,254,272,308,275,281,281,217,271,0,1,1,155000,155000,2
Alma del Mar Charter School (District),04090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10667660,944,797,NA,NA,NA,NA,NA,17.3,NA,0,100,103,102,103,52,49,146,94,48,0,0,0,0,0,NA,NA,NA,NA,NA
Amesbury,00070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39152791.79,1797,1852,10317.62371,462.8411995,1084.818464,1217.18287,3514.275761,22.2,NA,25,134,122,116,125,142,157,166,155,147,136,126,136,157,8,3,3,173000,173000,4
Amherst,00080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28610280,1053,1029,14734.2208,826.6320354,1147.571596,1763.695907,5363.146626,22.1,NA,32,127,134,146,132,157,161,140,0,0,0,0,0,0,0,5,5,167000,170000,3
